identifier,series,control_symbol,title,contents_date_str,contents_start_date,contents_end_date,location,access_status,access_decision_date_str,access_decision_date,reasons,harvest_year,current_status,current_barcode,current_decision_date
32407060,M880,575G,"[Invitations accepted - maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training]",1992 - 1992,1992-01-01,1992-01-01,Canberra,Closed,14 Aug 2018,2018-08-14,Closed period,2019,Open,,2020-08-27
32407061,M880,576,"[Correspondence relating to the Shadow Ministry maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'A']",1990 - 1992,1990-01-01,1992-01-01,Canberra,Closed,07 Nov 2018,2018-11-07,Closed period,2019,Open with exception,,2020-09-21
32407062,M880,576A,[Correspondence relating to the Shadow Ministry maintained by Hon John Howard during the opposition period - 'A/B'],1989 - 1993,1989-01-01,1993-01-01,Canberra,Closed,07 Nov 2018,2018-11-07,Closed period,2019,Open,,2020-09-21
32407063,M880,576B,[Correspondence relating to the Shadow Ministry maintained by Hon John Howard during the opposition period - 'B'],1989 - 1991,1989-01-01,1991-01-01,Canberra,Closed,07 Nov 2018,2018-11-07,Closed period,2019,Open with exception,,2020-08-27
32407064,M880,576C,"[Correspondence relating to the Shadow Ministry maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'C']",1990 - 1992,1990-01-01,1992-01-01,Canberra,Closed,07 Nov 2018,2018-11-07,Closed period,2019,Open,,2020-08-27
32407065,M880,576D,[Correspondence relating to the Shadow Ministry maintained by Hon John Howard during the opposition period - 'C'],1989 - 1993,1989-01-01,1993-01-01,Canberra,Closed,02 Jan 2019,2019-01-02,Closed period,2019,Open,,2020-08-27
32407066,M880,576E,"[Correspondence relating to the Shadow Ministry maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training -'C']",1990 - 1992,1990-01-01,1992-01-01,Canberra,Closed,02 Jan 2019,2019-01-02,Closed period,2019,Open,,2020-08-27
32407067,M880,576F,"[Correspondence relating to the Shadow Ministry maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'C']",1990 - 1992,1990-01-01,1992-01-01,Canberra,Closed,04 Dec 2018,2018-12-04,Closed period,2019,Open,,2020-08-27
32407068,M880,577,"[Correspondence relating to the Shadow Ministry maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'D']",1990 - 1992,1990-01-01,1992-01-01,Canberra,Closed,23 Oct 2018,2018-10-23,Closed period,2019,Open,,2020-08-27
32407069,M880,577A,[Correspondence relating to the Shadow Ministry maintained by Hon John Howard during the Opposition period - 'F'],1989 - 1991,1989-01-01,1991-01-01,Canberra,Closed,23 Oct 2018,2018-10-23,Closed period,2019,Open,,2020-08-27
32407070,M880,577B,"[Correspondence relating to the Shadow Ministry maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'H']",1990 - 1993,1990-01-01,1993-01-01,Canberra,Closed,14 Nov 2018,2018-11-14,Closed period,2019,Open,,2020-08-27
32407071,M880,577C,"[Correspondence relating to the Shadow Ministry maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'H']",1990 - 1993,1990-01-01,1993-01-01,Canberra,Closed,20 Nov 2018,2018-11-20,Closed period,2019,Open,,2020-08-27
32407072,M880,577D,"[Correspondence relating to the Shadow Ministry maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'J']",1990 - 1992,1990-01-01,1992-01-01,Canberra,Closed,14 Nov 2018,2018-11-14,Closed period,2019,Open,,2020-08-27
32407073,M880,577E,"[Correspondence relating to the Shadow Ministry maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'K']",1990 - 1992,1990-01-01,1992-01-01,Canberra,Closed,14 Nov 2018,2018-11-14,Closed period,2019,Open,,2020-08-27
32407074,M880,578,[Correspondence relating to the Shadow Ministry maintained by Hon John Howard during the Opposition period - 'Mc'],1989 - 1992,1989-01-01,1992-01-01,Canberra,Closed,14 Nov 2018,2018-11-14,Closed period,2019,Open,,2020-10-19
32407075,M880,578A,[Correspondence relating to the Shadow Ministry maintained by Hon John Howard during the Opposition period - 'N'],1989 - 1992,1989-01-01,1992-01-01,Canberra,Closed,20 Nov 2018,2018-11-20,Closed period,2019,Open,,2020-10-19
32407076,M880,578B,"[Correspondence relating to the Shadow Ministry maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'P']",1990 - 1993,1990-01-01,1993-01-01,Canberra,Closed,20 Nov 2018,2018-11-20,Closed period,2019,Open,,2020-08-27
32407077,M880,578C,[Correspondence relating to the Shadow Ministry maintained by Hon John Howard during the Opposition period - 'P'],1989 - 1993,1989-01-01,1993-01-01,Canberra,Closed,20 Nov 2018,2018-11-20,Closed period,2019,Open,,2020-08-27
32407078,M880,578D,"[Correspondence relating to the Shadow Ministry maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'R']",1990 - 1992,1990-01-01,1992-01-01,Canberra,Closed,20 Nov 2018,2018-11-20,Closed period,2019,Open,,2020-08-27
